Club_ID,Club_Name,Primary language,Address (Street and Number),Zipcode,City,Province,Country,Participation Games 2015,Participation Games 2016,Participation Games 2017,Participation Games 2018,Participation Games 2019,Participation Games 2022,Participation Games 2023,Participation Games 2024,Participation Games 2025
275,LA SYMPHONIE,French,Avenue Gustave Maigret 39,7030.0,SAINT-SYMPHORIEN,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,,,
279,HAMA 1,French,Avenue  Ernest Cambier 10,1030.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,,False,False,False,False,,,,
281,RESIDENCE ÉLYSÉE,French,Trieu Moriau 3,7542.0,MONT-SAINT-AUBERT,Hainaut,BELGIQUE,1.0,True,False,True,False,1.0,1.0,1.0,1.0
282,LA CASSINE,French,Place P- H Jouret 14-17,7880.0,Flobecq,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
284,L'AIR DE PAIX,French,Route de Bavay 56,7080.0,FRAMERIES,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
285,LA BASTIDE,French,Avenue Vauban 8,5000.0,NAMUR,Namur,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
286,JUDO CLUB WELLIN ASBL,French,"Rue Paul Dubois, 45",6920.0,WELLIN,Luxembourg,BELGIQUE,1.0,True,True,True,False,1.0,1.0,,
287,HOCKEY TOGETHER PINGOUIN NIVELLES,French,"67, rue du Monde",1400.0,Nivelles,Brabant Wallon,,,False,True,False,False,1.0,1.0,1.0,1.0
288,LE JARDIN DES ANGES,French,Rue de Ropaix n°16,7370.0,DOUR,HAINAUT,,,True,True,True,True,1.0,1.0,1.0,1.0
289,NEW MOBILITY CLUB SPORTIF DE MOUSCRON,French,"Rue du Bois, 103",7700.0,MOUSCRON,Hainaut,,,True,True,True,True,1.0,1.0,1.0,1.0
290,LOTUS D'OCQUIER,French,"Grand Rue, 62",4560.0,OCQUIER,Liège,,,True,True,True,True,1.0,1.0,1.0,1.0
291,LES DALTONS,French,"Rue Georges Tondeur, 60",7040.0,Quevy-Le-Grand (Mons),HAINAUT,,,True,True,True,True,1.0,1.0,1.0,
292,CARPE DIEM ASBL,French,Rue du Plateau 11,5100.0,Jambes,Namur,,,True,False,True,True,1.0,1.0,1.0,1.0
293,LES 3 SAPINS,French,Rue François Onckelet 10,7070.0,Mignault,Hainaut,Belgium,,True,True,True,True,1.0,1.0,1.0,1.0
294,LA SAPINIERE DE QUAREGNON,French,Rue De Pâturages 48,7390.0,Quaregnon,Hainaut,Belgium,,True,True,True,True,1.0,1.0,1.0,1.0
296,KANO JC TOURNAI,French,Rue de la Royère 80,7730.0,NECHIN,Hainaut,,,False,True,True,True,1.0,1.0,1.0,1.0
297,FOYER DU CALYDON,French,,,Liège,Liège,,,False,True,True,True,1.0,1.0,,
